Code du département,Libellé du département,Code du canton,Libellé du canton,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,N°Panneau,Sexe,Nom,Prénom,Voix,% Voix/Ins,% Voix/Exp,N°Panneau,Sexe,Nom,Prénom,Voix,% Voix/Ins,% Voix/Exp
01,Ain,001,Ambérieu-en-Bugey,19924,4681,23.49,15243,76.51,1481,7.43,9.72,422,2.12,2.77,13340,66.95,87.52,1,M,MACRON,Emmanuel,7459,37.44,55.91,2,F,LE PEN,Marine,5881,29.52,44.09
01,Ain,002,Attignat,17624,3296,18.7,14328,81.3,1390,7.89,9.7,360,2.04,2.51,12578,71.37,87.79,1,M,MACRON,Emmanuel,7186,40.77,57.13,2,F,LE PEN,Marine,5392,30.59,42.87
01,Ain,003,Bellegarde-sur-Valserine,12668,3331,26.29,9337,73.71,903,7.13,9.67,281,2.22,3.01,8153,64.36,87.32,1,M,MACRON,Emmanuel,5100,40.26,62.55,2,F,LE PEN,Marine,3053,24.1,37.45
01,Ain,004,Belley,17648,3771,21.37,13877,78.63,1307,7.41,9.42,438,2.48,3.16,12132,68.74,87.43,1,M,MACRON,Emmanuel,7199,40.79,59.34,2,F,LE PEN,Marine,4933,27.95,40.66
01,Ain,005,Bourg-en-Bresse-1,20410,5709,27.97,14701,72.03,1247,6.11,8.48,396,1.94,2.69,13058,63.98,88.82,1,M,MACRON,Emmanuel,9088,44.53,69.6,2,F,LE PEN,Marine,3970,19.45,30.4
01,Ain,006,Bourg-en-Bresse-2,17757,4323,24.35,13434,75.65,1239,6.98,9.22,350,1.97,2.61,11845,66.71,88.17,1,M,MACRON,Emmanuel,8436,47.51,71.22,2,F,LE PEN,Marine,3409,19.2,28.78
01,Ain,007,Ceyzériat,18698,3592,19.21,15106,80.79,1263,6.75,8.36,526,2.81,3.48,13317,71.22,88.16,1,M,MACRON,Emmanuel,7623,40.77,57.24,2,F,LE PEN,Marine,5694,30.45,42.76
01,Ain,008,Châtillon-sur-Chalaronne,21307,4576,21.48,16731,78.52,1507,7.07,9.01,442,2.07,2.64,14782,69.38,88.35,1,M,MACRON,Emmanuel,7951,37.32,53.79,2,F,LE PEN,Marine,6831,32.06,46.21
01,Ain,009,Gex,17433,4218,24.2,13215,75.8,1108,6.36,8.38,238,1.37,1.8,11869,68.08,89.81,1,M,MACRON,Emmanuel,9057,51.95,76.31,2,F,LE PEN,Marine,2812,16.13,23.69
01,Ain,010,Hauteville-Lompnes,15420,3568,23.14,11852,76.86,1190,7.72,10.04,393,2.55,3.32,10269,66.6,86.64,1,M,MACRON,Emmanuel,5819,37.74,56.67,2,F,LE PEN,Marine,4450,28.86,43.33
01,Ain,011,Lagnieu,23509,4903,20.86,18606,79.14,1713,7.29,9.21,501,2.13,2.69,16392,69.73,88.1,1,M,MACRON,Emmanuel,8558,36.4,52.21,2,F,LE PEN,Marine,7834,33.32,47.79
01,Ain,012,Meximieux,21496,4708,21.9,16788,78.1,1507,7.01,8.98,389,1.81,2.32,14892,69.28,88.71,1,M,MACRON,Emmanuel,8742,40.67,58.7,2,F,LE PEN,Marine,6150,28.61,41.3
01,Ain,013,Miribel,20232,4575,22.61,15657,77.39,1336,6.6,8.53,341,1.69,2.18,13980,69.1,89.29,1,M,MACRON,Emmanuel,9083,44.89,64.97,2,F,LE PEN,Marine,4897,24.2,35.03
01,Ain,014,Nantua,13329,3376,25.33,9953,74.67,912,6.84,9.16,332,2.49,3.34,8709,65.34,87.5,1,M,MACRON,Emmanuel,5092,38.2,58.47,2,F,LE PEN,Marine,3617,27.14,41.53
01,Ain,015,Oyonnax,13487,4412,32.71,9075,67.29,682,5.06,7.52,200,1.48,2.2,8193,60.75,90.28,1,M,MACRON,Emmanuel,5355,39.7,65.36,2,F,LE PEN,Marine,2838,21.04,34.64
01,Ain,016,Pont-d'Ain,15300,3327,21.75,11973,78.25,1108,7.24,9.25,358,2.34,2.99,10507,68.67,87.76,1,M,MACRON,Emmanuel,5567,36.39,52.98,2,F,LE PEN,Marine,4940,32.29,47.02
01,Ain,017,Replonges,22142,4537,20.49,17605,79.51,1480,6.68,8.41,602,2.72,3.42,15523,70.11,88.17,1,M,MACRON,Emmanuel,8780,39.65,56.56,2,F,LE PEN,Marine,6743,30.45,43.44
01,Ain,018,Saint-Etienne-du-Bois,16377,3125,19.08,13252,80.92,1326,8.1,10.01,407,2.49,3.07,11519,70.34,86.92,1,M,MACRON,Emmanuel,6673,40.75,57.93,2,F,LE PEN,Marine,4846,29.59,42.07
01,Ain,019,Saint-Genis-Pouilly,13629,3216,23.6,10413,76.4,734,5.39,7.05,183,1.34,1.76,9496,69.67,91.19,1,M,MACRON,Emmanuel,7577,55.59,79.79,2,F,LE PEN,Marine,1919,14.08,20.21
01,Ain,020,Thoiry,14480,3234,22.33,11246,77.67,925,6.39,8.23,282,1.95,2.51,10039,69.33,89.27,1,M,MACRON,Emmanuel,7110,49.1,70.82,2,F,LE PEN,Marine,2929,20.23,29.18
01,Ain,021,Trévoux,22637,4592,20.29,18045,79.71,1569,6.93,8.69,410,1.81,2.27,16066,70.97,89.03,1,M,MACRON,Emmanuel,10330,45.63,64.3,2,F,LE PEN,Marine,5736,25.34,35.7
01,Ain,022,Villars-les-Dombes,23812,4712,19.79,19100,80.21,1723,7.24,9.02,484,2.03,2.53,16893,70.94,88.45,1,M,MACRON,Emmanuel,9311,39.1,55.12,2,F,LE PEN,Marine,7582,31.84,44.88
01,Ain,023,Vonnas,16631,3348,20.13,13283,79.87,1202,7.23,9.05,403,2.42,3.03,11678,70.22,87.92,1,M,MACRON,Emmanuel,6713,40.36,57.48,2,F,LE PEN,Marine,4965,29.85,42.52
02,Aisne,001,Bohain-en-Vermandois,15456,3381,21.88,12075,78.13,963,6.23,7.98,397,2.57,3.29,10715,69.33,88.74,1,M,MACRON,Emmanuel,4296,27.8,40.09,2,F,LE PEN,Marine,6419,41.53,59.91
02,Aisne,002,Château-Thierry,18675,4866,26.06,13809,73.94,1161,6.22,8.41,506,2.71,3.66,12142,65.02,87.93,1,M,MACRON,Emmanuel,6737,36.07,55.49,2,F,LE PEN,Marine,5405,28.94,44.51
02,Aisne,003,Chauny,17752,4564,25.71,13188,74.29,1054,5.94,7.99,372,2.1,2.82,11762,66.26,89.19,1,M,MACRON,Emmanuel,5326,30,45.28,2,F,LE PEN,Marine,6436,36.26,54.72
02,Aisne,004,Essômes-sur-Marne,20291,4631,22.82,15660,77.18,1418,6.99,9.05,507,2.5,3.24,13735,67.69,87.71,1,M,MACRON,Emmanuel,6496,32.01,47.3,2,F,LE PEN,Marine,7239,35.68,52.7
02,Aisne,005,Fère-en-Tardenois,20133,4133,20.53,16000,79.47,1232,6.12,7.7,476,2.36,2.98,14292,70.99,89.33,1,M,MACRON,Emmanuel,6233,30.96,43.61,2,F,LE PEN,Marine,8059,40.03,56.39
02,Aisne,006,Guignicourt,18614,3693,19.84,14921,80.16,1338,7.19,8.97,412,2.21,2.76,13171,70.76,88.27,1,M,MACRON,Emmanuel,5962,32.03,45.27,2,F,LE PEN,Marine,7209,38.73,54.73
02,Aisne,007,Guise,16878,3665,21.71,13213,78.29,941,5.58,7.12,425,2.52,3.22,11847,70.19,89.66,1,M,MACRON,Emmanuel,4519,26.77,38.14,2,F,LE PEN,Marine,7328,43.42,61.86
02,Aisne,008,Hirson,15569,4370,28.07,11199,71.93,766,4.92,6.84,442,2.84,3.95,9991,64.17,89.21,1,M,MACRON,Emmanuel,4155,26.69,41.59,2,F,LE PEN,Marine,5836,37.48,58.41
02,Aisne,009,Laon-1,17102,4227,24.72,12875,75.28,1107,6.47,8.6,456,2.67,3.54,11312,66.14,87.86,1,M,MACRON,Emmanuel,5826,34.07,51.5,2,F,LE PEN,Marine,5486,32.08,48.5
02,Aisne,010,Laon-2,17049,4536,26.61,12513,73.39,1110,6.51,8.87,361,2.12,2.88,11042,64.77,88.24,1,M,MACRON,Emmanuel,6115,35.87,55.38,2,F,LE PEN,Marine,4927,28.9,44.62
02,Aisne,011,Marle,14692,2752,18.73,11940,81.27,1001,6.81,8.38,386,2.63,3.23,10553,71.83,88.38,1,M,MACRON,Emmanuel,4224,28.75,40.03,2,F,LE PEN,Marine,6329,43.08,59.97
02,Aisne,012,Ribemont,20090,4263,21.22,15827,78.78,1320,6.57,8.34,465,2.31,2.94,14042,69.9,88.72,1,M,MACRON,Emmanuel,6050,30.11,43.09,2,F,LE PEN,Marine,7992,39.78,56.91
02,Aisne,013,Saint-Quentin-1,19253,4737,24.6,14516,75.4,1142,5.93,7.87,450,2.34,3.1,12924,67.13,89.03,1,M,MACRON,Emmanuel,7350,38.18,56.87,2,F,LE PEN,Marine,5574,28.95,43.13
02,Aisne,014,Saint-Quentin-2,15820,4139,26.16,11681,73.84,825,5.21,7.06,350,2.21,3,10506,66.41,89.94,1,M,MACRON,Emmanuel,6023,38.07,57.33,2,F,LE PEN,Marine,4483,28.34,42.67
02,Aisne,015,Saint-Quentin-3,19044,5140,26.99,13904,73.01,1084,5.69,7.8,412,2.16,2.96,12408,65.15,89.24,1,M,MACRON,Emmanuel,6176,32.43,49.77,2,F,LE PEN,Marine,6232,32.72,50.23
02,Aisne,016,Soissons-1,16108,4379,27.19,11729,72.81,876,5.44,7.47,351,2.18,2.99,10502,65.2,89.54,1,M,MACRON,Emmanuel,5328,33.08,50.73,2,F,LE PEN,Marine,5174,32.12,49.27
02,Aisne,017,Soissons-2,18284,5298,28.98,12986,71.02,958,5.24,7.38,350,1.91,2.7,11678,63.87,89.93,1,M,MACRON,Emmanuel,6341,34.68,54.3,2,F,LE PEN,Marine,5337,29.19,45.7
02,Aisne,018,Tergnier,21096,6075,28.8,15021,71.2,1151,5.46,7.66,565,2.68,3.76,13305,63.07,88.58,1,M,MACRON,Emmanuel,5718,27.1,42.98,2,F,LE PEN,Marine,7587,35.96,57.02
02,Aisne,019,Vervins,16236,3483,21.45,12753,78.55,949,5.85,7.44,403,2.48,3.16,11401,70.22,89.4,1,M,MACRON,Emmanuel,4600,28.33,40.35,2,F,LE PEN,Marine,6801,41.89,59.65
02,Aisne,020,Vic-sur-Aisne,15711,3310,21.07,12401,78.93,1062,6.76,8.56,384,2.44,3.1,10955,69.73,88.34,1,M,MACRON,Emmanuel,4721,30.05,43.09,2,F,LE PEN,Marine,6234,39.68,56.91
02,Aisne,021,Villers-Cotterêts,21938,5103,23.26,16835,76.74,1380,6.29,8.2,597,2.72,3.55,14858,67.73,88.26,1,M,MACRON,Emmanuel,7006,31.94,47.15,2,F,LE PEN,Marine,7852,35.79,52.85
03,Allier,001,Bellerive-sur-Allier,13809,2676,19.38,11133,80.62,1039,7.52,9.33,404,2.93,3.63,9690,70.17,87.04,1,M,MACRON,Emmanuel,6335,45.88,65.38,2,F,LE PEN,Marine,3355,24.3,34.62
03,Allier,002,Bourbon-l'Archambault,13009,2803,21.55,10206,78.45,1027,7.89,10.06,478,3.67,4.68,8701,66.88,85.25,1,M,MACRON,Emmanuel,5216,40.1,59.95,2,F,LE PEN,Marine,3485,26.79,40.05
03,Allier,003,Commentry,13709,3172,23.14,10537,76.86,1008,7.35,9.57,590,4.3,5.6,8939,65.21,84.83,1,M,MACRON,Emmanuel,5346,39,59.81,2,F,LE PEN,Marine,3593,26.21,40.19
03,Allier,004,Cusset,12495,2627,21.02,9868,78.98,911,7.29,9.23,350,2.8,3.55,8607,68.88,87.22,1,M,MACRON,Emmanuel,5665,45.34,65.82,2,F,LE PEN,Marine,2942,23.55,34.18
03,Allier,005,Dompierre-sur-Besbre,15657,3252,20.77,12405,79.23,1188,7.59,9.58,503,3.21,4.05,10714,68.43,86.37,1,M,MACRON,Emmanuel,6511,41.59,60.77,2,F,LE PEN,Marine,4203,26.84,39.23
03,Allier,006,Gannat,15381,3413,22.19,11968,77.81,1162,7.55,9.71,505,3.28,4.22,10301,66.97,86.07,1,M,MACRON,Emmanuel,6358,41.34,61.72,2,F,LE PEN,Marine,3943,25.64,38.28
03,Allier,007,Huriel,12675,2677,21.12,9998,78.88,1020,8.05,10.2,500,3.94,5,8478,66.89,84.8,1,M,MACRON,Emmanuel,5132,40.49,60.53,2,F,LE PEN,Marine,3346,26.4,39.47
03,Allier,008,Lapalisse,14323,2824,19.72,11499,80.28,1041,7.27,9.05,673,4.7,5.85,9785,68.32,85.09,1,M,MACRON,Emmanuel,5703,39.82,58.28,2,F,LE PEN,Marine,4082,28.5,41.72
03,Allier,009,Montluçon-1,12376,3187,25.75,9189,74.25,904,7.3,9.84,574,4.64,6.25,7711,62.31,83.92,1,M,MACRON,Emmanuel,4944,39.95,64.12,2,F,LE PEN,Marine,2767,22.36,35.88
03,Allier,010,Montluçon-2,11865,3730,31.44,8135,68.56,817,6.89,10.04,443,3.73,5.45,6875,57.94,84.51,1,M,MACRON,Emmanuel,4678,39.43,68.04,2,F,LE PEN,Marine,2197,18.52,31.96
03,Allier,011,Montluçon-3,14803,3786,25.58,11017,74.42,1186,8.01,10.77,473,3.2,4.29,9358,63.22,84.94,1,M,MACRON,Emmanuel,6597,44.57,70.5,2,F,LE PEN,Marine,2761,18.65,29.5
03,Allier,012,Montluçon-4,10878,3042,27.96,7836,72.04,876,8.05,11.18,329,3.02,4.2,6631,60.96,84.62,1,M,MACRON,Emmanuel,4425,40.68,66.73,2,F,LE PEN,Marine,2206,20.28,33.27
03,Allier,013,Moulins-1,12856,3301,25.68,9555,74.32,890,6.92,9.31,352,2.74,3.68,8313,64.66,87,1,M,MACRON,Emmanuel,5790,45.04,69.65,2,F,LE PEN,Marine,2523,19.63,30.35
03,Allier,014,Moulins-2,14278,3695,25.88,10583,74.12,1005,7.04,9.5,442,3.1,4.18,9136,63.99,86.33,1,M,MACRON,Emmanuel,5744,40.23,62.87,2,F,LE PEN,Marine,3392,23.76,37.13
03,Allier,015,Saint-Pourçain-sur-Sioule,14373,3078,21.42,11295,78.58,995,6.92,8.81,459,3.19,4.06,9841,68.47,87.13,1,M,MACRON,Emmanuel,5667,39.43,57.59,2,F,LE PEN,Marine,4174,29.04,42.41
03,Allier,016,Souvigny,11742,2169,18.47,9573,81.53,1008,8.58,10.53,419,3.57,4.38,8146,69.37,85.09,1,M,MACRON,Emmanuel,5231,44.55,64.22,2,F,LE PEN,Marine,2915,24.83,35.78
03,Allier,017,Vichy-1,13709,3608,26.32,10101,73.68,896,6.54,8.87,348,2.54,3.45,8857,64.61,87.68,1,M,MACRON,Emmanuel,5751,41.95,64.93,2,F,LE PEN,Marine,3106,22.66,35.07
03,Allier,018,Vichy-2,12714,3664,28.82,9050,71.18,812,6.39,8.97,300,2.36,3.31,7938,62.44,87.71,1,M,MACRON,Emmanuel,5416,42.6,68.23,2,F,LE PEN,Marine,2522,19.84,31.77
03,Allier,019,Yzeure,12827,2590,20.19,10237,79.81,1092,8.51,10.67,380,2.96,3.71,8765,68.33,85.62,1,M,MACRON,Emmanuel,6070,47.32,69.25,2,F,LE PEN,Marine,2695,21.01,30.75
04,Alpes-de-Haute-Provence,001,Barcelonnette,6498,1519,23.38,4979,76.62,548,8.43,11.01,184,2.83,3.7,4247,65.36,85.3,1,M,MACRON,Emmanuel,2529,38.92,59.55,2,F,LE PEN,Marine,1718,26.44,40.45
04,Alpes-de-Haute-Provence,002,Castellane,8489,1773,20.89,6716,79.11,750,8.83,11.17,261,3.07,3.89,5705,67.2,84.95,1,M,MACRON,Emmanuel,3028,35.67,53.08,2,F,LE PEN,Marine,2677,31.53,46.92
04,Alpes-de-Haute-Provence,003,Château-Arnoux-Saint-Auban,9566,2178,22.77,7388,77.23,608,6.36,8.23,342,3.58,4.63,6438,67.3,87.14,1,M,MACRON,Emmanuel,3764,39.35,58.47,2,F,LE PEN,Marine,2674,27.95,41.53
04,Alpes-de-Haute-Provence,004,Digne-les-Bains-1,7820,1912,24.45,5908,75.55,606,7.75,10.26,225,2.88,3.81,5077,64.92,85.93,1,M,MACRON,Emmanuel,3162,40.43,62.28,2,F,LE PEN,Marine,1915,24.49,37.72
